tool;type;value;source
PostgreSQL;keyword;.Net;TERESAH
Sharepoint;keyword;.Net;TERESAH
textpresso;description;"""a text-mining system for scientific literature. Textpresso's two major elements are (1) access to full text, so that entire articles can be searched, and (2) introduction of categories of biological concepts and classes that relate two objects (e.g., association, regulation, etc.) or describe one (e.g., methods, etc)""";BambooDirt
Flare;description;"""ActionScript library for creating visualizations that run in the Adobe Flash Player""";BambooDirt
Heurist Reference Database;description;"""Heurist captures and manages web bookmarks, bibliographic references, personal notes and a host of other specialised data types (expandable) in a simple, searchable web interface, available anywhere.
Researchers can easily and quickly find, capture and share relevant information, organise information resources and publish teaching/research project web site content automatically using Heurist.""";BambooDirt
Word Hoard;description;"""In the WordHoard environment, texts are annotated or tagged by morphological, lexical, prosodic, and narratological criteria. They are mediated through a 'digital page' or user interface that lets scholarly but non-technical users explore the greatly increased query potential of textual data kept in such a form.""";BambooDirt
Linguistic Inquiry and Word Count (LIWC);description;"""Linguistic Inquiry and Word Count (LIWC) is a text analysis software program...LIWC is able to calculate the degree to which people use different categories of words across a wide array of texts."" Free and limited web analysis available.";BambooDirt
Protégé;description;"""Protégé is a free, open source ontology editor and knowledge-base framework
The Protégé platform supports two main ways of modeling ontologies via the Protégé-Frames and Protégé-OWL editors. Protégé ontologies can be exported into a variety of formats including RDF(S), OWL, and XML Schema."" -- Protege Home Page (viewed 30 October 2012)";BambooDirt
TemaTres  Controlled Vocabulary Server;description;"""TemaTres is an open source vocabulary server, web application to manage and exploit vocabularies, thesauri, taxonomies and formal representations of knowledge."" -- TemaTres home page (viewed 30 October 2012)";BambooDirt
TextSTAT- Simple Text Analysis Tool;description;"""TextSTAT is a simple programme for the analysis of texts. It reads plain text files (in different encodings) and HTML files (directly from the internet) and it produces word frequency lists and concordances from these files. This version includes a web-spider which reads as many pages as you want from a particular website and puts them in a TextSTAT-corpus. The new news-reader, too, puts news messages in a TextSTAT-readable corpus file.
TextSTAT reads MS Word and OpenOffice files. No conversion needed, just add the files to your corpus...
In TextSTAT you can use regular expression which provides you with powerful search possibilities. The programme is multilingual. Because it uses Unicode internally, TextSTAT can cope with many different languages and file encodings. """;BambooDirt
